Train Size,Dataset,Level,Taxon,Training_Leaves_Count,Model_Path,Accuracy,Cross_Val_Accuracy,AUROC,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Average_Precision,Order
10,focal,Order,Stanwilliamsvirales,10,models/Order_bg/Stanwilliamsvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Uluvirales,10,models/Order_bg/Uluvirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Vilmavirales,10,models/Order_bg/Vilmavirales.pkl,0.9910714285714286,0.9916666666666668,0.9998503442083208,0.9910025706940874,1.0,0.9954809554551324,1.0,0.4615384615384615,0.631578947368421,0.9897435897435896,
10,focal,Order,Xiphosvirales,10,models/Order_bg/Xiphosvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Falchionvirales,10,models/Order_bg/Falchionvirales.pkl,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Ekuvirales,10,models/Order_bg/Ekuvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Dynamitevirales,10,models/Order_bg/Dynamitevirales.pkl,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Catapultvirales,10,models/Order_bg/Catapultvirales.pkl,0.9974489795918368,0.9933333333333334,0.9997857754927164,0.9974358974358974,1.0,0.9987163029525032,1.0,0.6666666666666666,0.8,0.976190476190476,
10,focal,Order,Arbalestvirales,10,models/Order_bg/Arbalestvirales.pkl,0.9834183673469388,0.995,1.0,0.9829842931937172,1.0,0.9914191419141912,1.0,0.6060606060606061,0.7547169811320755,1.0,
10,focal,Order,Arquebusvirales,10,models/Order_bg/Arquebusvirales.pkl,0.965561224489796,0.9916666666666666,1.0,0.9645669291338582,1.0,0.9819639278557112,1.0,0.4489795918367347,0.6197183098591549,1.0,
10,focal,Order,Atlatlvirales,10,models/Order_bg/Atlatlvirales.pkl,0.9987244897959184,1.0,1.0,0.9987046632124352,1.0,0.9993519118600128,1.0,0.9230769230769232,0.96,0.9999999999999998,
10,focal,Order,Autographivirales,10,models/Order_bg/Autographivirales.pkl,0.9489795918367347,0.9916666666666668,0.9997559538836992,0.945872801082544,1.0,0.9721835883171072,1.0,0.5294117647058824,0.6923076923076924,0.997732716022352,
10,focal,Order,Ballistavirales,10,models/Order_bg/Ballistavirales.pkl,0.985969387755102,0.995,1.0,0.9857881136950905,1.0,0.9928432010409888,1.0,0.4761904761904761,0.6451612903225806,1.0,
10,focal,Order,Bardichevirales,10,models/Order_bg/Bardichevirales.pkl,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,
10,focal,Order,Blunderbussvirales,10,models/Order_bg/Blunderbussvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Bo-Shurikenvirales,10,models/Order_bg/Bo-Shurikenvirales.pkl,0.9987244897959184,0.9916666666666668,0.9991431019708654,0.9987163029525032,1.0,0.9993577392421324,1.0,0.8333333333333334,0.9090909090909092,0.9333333333333332,
10,focal,Order,Bolasvirales,10,models/Order_bg/Bolasvirales.pkl,0.9987244897959184,1.0,1.0,0.9987146529562982,1.0,0.9993569131832798,1.0,0.8571428571428571,0.923076923076923,1.0,
10,focal,Order,Bombardvirales,10,models/Order_bg/Bombardvirales.pkl,0.9897959183673468,0.99,0.9973098330241188,0.9897172236503856,1.0,0.9948320413436692,1.0,0.4285714285714285,0.6,0.9238095238095236,
10,focal,Order,Bowievirales,10,models/Order_bg/Bowievirales.pkl,0.9961734693877552,0.9916666666666668,1.0,0.9961340206185568,1.0,0.9980632666236282,1.0,0.7272727272727273,0.8421052631578948,1.0,
10,focal,Order,Casjensvirales,10,models/Order_bg/Casjensvirales.pkl,0.9961734693877552,0.9933333333333334,1.0,0.996138996138996,1.0,0.9980657640232108,1.0,0.7,0.8235294117647058,1.0,
10,focal,Order,Chakramvirales,10,models/Order_bg/Chakramvirales.pkl,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Durandalvirales,10,models/Order_bg/Durandalvirales.pkl,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Chakrivirales,10,models/Order_bg/Chakrivirales.pkl,0.9987244897959184,1.0,0.9995731967562954,0.9987212276214834,1.0,0.999360204734485,1.0,0.6666666666666666,0.8,0.9166666666666666,
10,focal,Order,Chasevirales,10,models/Order_bg/Chasevirales.pkl,1.0,0.9966666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Chimallivirales,10,models/Order_bg/Chimallivirales.pkl,0.9987244897959184,0.9983333333333334,0.9995698924731182,1.0,0.9987096774193548,0.999354422207876,0.9,1.0,0.9473684210526316,0.963888888888889,
10,focal,Order,Chukonuvirales,10,models/Order_bg/Chukonuvirales.pkl,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Crassvirales,10,models/Order_bg/Crassvirales.pkl,0.9885204081632653,0.9933333333333334,1.0,0.988431876606684,1.0,0.9941822882999354,1.0,0.4,0.5714285714285715,1.0,
10,focal,Order,Crossbowvirales,10,models/Order_bg/Crossbowvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Culverinvirales,10,models/Order_bg/Culverinvirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Cutlassvirales,10,models/Order_bg/Cutlassvirales.pkl,0.9987244897959184,0.9983333333333334,1.0,0.9987179487179488,1.0,0.9993585631815266,1.0,0.8,0.888888888888889,1.0,
10,focal,Order,Daovirales,10,models/Order_bg/Daovirales.pkl,0.9961734693877552,0.9933333333333334,1.0,0.9961587708066582,1.0,0.99807568954458,1.0,0.5,0.6666666666666666,1.0,
10,focal,Order,Derringervirales,10,models/Order_bg/Derringervirales.pkl,0.9987244897959184,0.995,1.0,0.998719590268886,1.0,0.9993593850096092,1.0,0.75,0.8571428571428571,1.0,
10,focal,Order,Dirkvirales,10,models/Order_bg/Dirkvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Drexlervirales,10,models/Order_bg/Drexlervirales.pkl,0.9974489795918368,0.9966666666666668,1.0,0.997364953886693,1.0,0.9986807387862796,1.0,0.925925925925926,0.9615384615384616,0.9999999999999998,
